iteration,incremental_revenue
0,2933354.0642972747
1,2912096.868095387
2,2940496.7450205293
3,2952875.1977527654
4,2956772.199164181
5,2938024.2024663286
6,2934002.6731120124
7,2925298.570697655
8,2923017.008734579
9,2942898.13871745
10,2933499.7539733388
11,2942191.49071547
12,2941758.4321076814
13,2941305.2531341007
14,2933322.9168139324
15,2956621.796732569
16,2923687.8933591377
17,2933732.032165339
18,2916910.3755476456
19,2931161.947155904
20,2927862.9124199776
21,2941102.0448274035
22,2918208.6587240687
23,2924241.7475798894
24,2936363.0059838574
25,2954086.272288841
26,2957246.084472603
27,2922857.6269808207
28,2940756.783569158
29,2934011.1021168632
30,2942504.3571965024
31,2965619.73574771
32,2942536.1105877887
33,2925300.5362207275
34,2939973.259643711
35,2963970.0241616294
36,2944979.738491131
37,2923520.1142184567
38,2936989.7718070615
39,2929398.6266880333
40,2945497.1559861302
41,2948950.002849607
42,2941700.301643527
43,2936976.326993822
44,2927390.9866726846
45,2935440.8732990082
46,2953433.4325561924
47,2945745.918331377
48,2944893.81620552
49,2957035.3769610617
50,2917367.3926618863
51,2915470.3553773873
52,2928429.0078717964
53,2934195.481637734
54,2926166.3297537584
55,2927507.156716412
56,2936139.406640906
57,2942756.0806616247
58,2950160.8318357263
59,2953219.4965715306
60,2923800.5105174575
61,2912100.6449945476
62,2977483.8550861347
63,2932280.4198061423
64,2922111.990376111
65,2943610.2447595913
66,2922597.9020085614
67,2947777.963900242
68,2932850.4931881772
69,2945235.4751275703
70,2911614.992536597
71,2944642.764884904
72,2930924.535347974
73,2935257.6079635452
74,2959041.656567704
75,2945195.0092547294
76,2922414.906218484
77,2935960.740075196
78,2956008.9422219843
79,2927299.0367196184
80,2946540.328034262
81,2915259.49884002
82,2937965.6426853575
83,2934017.7687069597
84,2945429.3164053075
85,2966678.5646349285
86,2939786.5966913356
87,2921723.2941844836
88,2942675.361287485
89,2940394.9452062063
90,2958156.2363139037
91,2926685.40995261
92,2958339.624775526
93,2931779.877080571
94,2935577.6851422824
95,2963855.133144811
96,2909819.003905775
97,2951982.4809829667
98,2949015.2332693916
99,2939857.7345137335
100,2941871.622046819
101,2938259.496004126
102,2954572.716726469
103,2990506.543182105
104,2975119.60512843
105,2972586.985125806
106,2926727.849586986
107,2933612.32692625
108,2963042.1220160984
109,2945932.787183743
110,2931172.0233177487
111,2938938.027373379
112,2929290.748231178
113,2963963.4698832473
114,2952925.860932542
115,2939531.6663202383
116,2953425.724609336
117,2956376.869037862
118,2929453.23803546
119,2935099.8189566527
120,2921505.633935988
121,2926613.0841221493
122,2941084.055199323
123,2954583.318899978
124,2938036.518741546
125,2939446.22090913
126,2933671.574067021
127,2912840.159772245
128,2950179.104609536
129,2936999.568684371
130,2932198.394509308
131,2931090.2104009762
132,2945187.7110559633
133,2960138.0162843205
134,2935008.169153804
135,2956882.066369772
136,2940991.677010808
137,2910409.9514113646
138,2900351.0384929534
139,2944797.7974352203
140,2940014.265258356
141,2931019.830562154
142,2938638.241456574
143,2943272.159386389
144,2950146.7464823825
145,2955324.7027515983
146,2939245.8746780343
147,2921125.5047274623
148,2958937.0124070058
149,2944752.464297449
150,2956029.58154439
151,2894866.528875118
152,2944164.054496404
153,2941266.192189998
154,2930037.1655853577
155,2933692.924253216
156,2928964.4577554986
157,2941934.9673778918
158,2949257.2868957575
159,2952063.4891617605
160,2936613.615730486
161,2956936.479792472
162,2934796.9570147526
163,2929593.5138331577
164,2939669.4068903355
165,2960794.233409076
166,2966507.7242214456
167,2933515.486163155
168,2937823.757713604
169,2925832.2499640174
170,2921699.7834085897
171,2944534.4757159874
172,2937803.293508143
173,2928420.222676249
174,2950958.343075554
175,2937679.31741162
176,2937382.9582638405
177,2925324.515565105
178,2959011.74128839
179,2934969.228041921
180,2957421.9470966766
181,2942828.460832403
182,2932802.013616631
183,2933356.137594235
184,2925304.122845714
185,2920538.3450331613
186,2970412.5522621814
187,2938329.9085299335
188,2955077.074681742
189,2938877.2885087403
190,2963319.033326539
191,2969855.472867392
192,2935404.2962336503
193,2932611.1604622565
194,2925337.3335313313
195,2941710.0534532797
196,2947733.2445886172
197,2939548.2112238863
198,2965530.3651065845
199,2920440.48614153
200,2956604.424107113
201,2954865.527566433
202,2920014.5507068858
203,2953674.446909544
204,2934527.297825845
205,2949958.2544515235
206,2948853.506158877
207,2956540.9811304063
208,2953841.355005836
209,2939307.1028759032
210,2948167.853163447
211,2938282.1140322136
212,2932158.598630389
213,2955230.3264186606
214,2949155.818772573
215,2981917.1328707375
216,2945561.102902578
217,2950587.22550878
218,2916494.31378277
219,2938743.3424614286
220,2929973.23882653
221,2960168.6735973135
222,2927991.7882630397
223,2964670.430327706
224,2958034.3854530985
225,2922873.2850859463
226,2951285.6336773075
227,2923242.933534596
228,2937622.2709462093
229,2964721.7553760177
230,2931524.585276924
231,2957437.889312844
232,2925038.2209769385
233,2934372.089800302
234,2951145.0076221284
235,2944591.994828662
236,2936898.53074182
237,2945684.5422962327
238,2946153.163336889
239,2938837.455537662
240,2956783.477235064
241,2945442.042970456
242,2954268.172470605
243,2934897.9765467383
244,2948475.1837078966
245,2924064.9530340396
246,2913049.224026421
247,2949788.780425622
248,2931617.3789767753
249,2944906.753146125
250,2921643.801800199
251,2948378.1524584033
252,2950737.248785658
253,2953127.5089470902
254,2953534.5098568834
255,2921610.3551195245
256,2934546.2636418827
257,2943307.93806287
258,2946919.0889666174
259,2945076.45504028
